Name of the Company,Total no of candidates placed
M/s. Cognizant Technology Solutions India Ltd,194
M/s. Wipro Technologies,123
M/s. Infosys Ltd,105
M/s. Soliton Technologies Pvt Ltd.,7
M/s. Newgen Software Technologies,3
"M/s. Virtusha Consulting Services Pvt. Ltd.,",6
"M/s. Robert Bosch Engg. and Business Solutions Ltd.,",14
M/s. ITC LTD,7
M/s. Saipem India Projects,3
M/s. Taj Hotels,1
Other Software & Core Companies,246
