Name of the Company,Total no of candidates placed
M/s.Wipro Technologies,313
M/s. Cognizant Technology Solutions India Ltd,225
M/s. Robert Bosch India Ltd,43
M/s. Soliton Technologies Pvt Ltd.,2
"M/s. EmbedUR Systems India Pvt. Ltd.,",2
M/s. Consolidated Construction Consortium Ltd,5
,
M/s. Wabco,3
M/s. Ascendant Technology,1
M/s. ITC Foods Division,4
M/s. iGate,2
"M/s. Ambalal Shares & Stocks Pvt. Ltd.,",7
M/s.Mahindra Satyam,7
M/s.Delphi TVS,2
M/s.Lucas TVS,1
M/s.Wabco India Ltd,3
Other Software & Core Companies,169
