Name of the Company,Total no of candidates placed
M/s. Accenture Services,568
M/s. Cognizant Technology Solutions India Ltd,194
M/s. Wipro Technologies,199
M/s. Infosys Ltd,210
M/s. Zoho Corporation,14
M/s. IVTL Info View,63
M/s. Hyundai Motor (India) Pvt. Ltd,2
M/s. Polaris,5
M/s. Mu-Sigma,4
M/s. Schneider Electric India Ltd,1
M/s. Other Software & Core Companies,203
